title,points
An image of an archeologist adventurer who wears a hat and uses a bullwhip,1126 points
New antibiotic that kills drug-resistant bacteria found in technician's garden,222 points
Study finds solo music listening boosts social well-being,105 points
Build an 8-bit computer from scratch,321 points
"A number of electric vehicle, battery factories are being canceled",12 points
US labour watchdog halts Apple cases after US picks group's lawyer for top job,148 points
Curl-impersonate: Special build of curl that can impersonate the major browsers,434 points
Why do we need modules at all? (2011),70 points
Gumroad is now open source,262 points
Overengineered Anchor Links,344 points
Nvidia adds native Python support to CUDA,19 points
Show HN: Hatchet v1 – A task orchestration platform built on Postgres,166 points
A university president makes a case against cowardice,338 points
"Supervisors often prefer rule breakers, up to a point",153 points
On JavaScript's Weirdness,61 points
Hackers strike Australia's largest pension funds in coordinated attacks,52 points
Microsoft employees recall their early years,123 points
AI 2027,643 points
Microsoft’s original source code,375 points
New nanoparticle therapies target two major killers,71 points
How Silica Gel Took over the World,24 points
Show HN: The C3 programming language (C alternative language),137 points
What is Local first development,97 points
Show HN: 2x2 Generator (With Sound Effects),6 points
The slow collapse of critical thinking in OSINT due to AI,360 points
Show HN: Transputer emulator in JavaScript (fast enough to be useful),25 points
Photo calorie app Cal AI was built by two teenagers,41 points
Senior Developer Skills in the AI Age,333 points
Show HN: GitMCP is an automatic MCP server for every GitHub repo,144 points
AnimeJs v4 Is Here,783 points
